timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/04 21:25:59.894, 79 %, 12519 MiB, 224.81 W
2026/09/04 21:26:01.894, 99 %, 12519 MiB, 174.65 W
2026/09/04 21:26:03.895, 99 %, 12519 MiB, 206.31 W
2026/09/04 21:26:05.895, 75 %, 12519 MiB, 204.11 W
2026/09/04 21:26:07.896, 99 %, 12519 MiB, 175.76 W
2026/09/04 21:26:09.896, 100 %, 12519 MiB, 211.59 W
2026/09/04 21:26:11.896, 76 %, 12519 MiB, 202.86 W
2026/09/04 21:26:13.897, 99 %, 12519 MiB, 174.94 W
2026/09/04 21:26:15.897, 99 %, 12519 MiB, 217.62 W
2026/09/04 21:26:17.898, 77 %, 12519 MiB, 206.64 W
2026/09/04 21:26:19.898, 99 %, 12519 MiB, 171.74 W
2026/09/04 21:26:21.899, 99 %, 12519 MiB, 212.00 W
2026/09/04 21:26:23.899, 76 %, 12519 MiB, 205.34 W
2026/09/04 21:26:25.900, 99 %, 12519 MiB, 178.65 W
2026/09/04 21:26:27.900, 99 %, 12519 MiB, 203.33 W
2026/09/04 21:26:29.900, 75 %, 12519 MiB, 201.59 W
2026/09/04 21:26:31.901, 100 %, 12519 MiB, 174.13 W
2026/09/04 21:26:33.901, 99 %, 12519 MiB, 197.67 W
2026/09/04 21:26:35.902, 79 %, 12519 MiB, 214.39 W
2026/09/04 21:26:37.902, 99 %, 12519 MiB, 175.39 W
2026/09/04 21:26:39.903, 99 %, 12519 MiB, 204.30 W
2026/09/04 21:26:41.903, 79 %, 12519 MiB, 208.17 W
2026/09/04 21:26:43.903, 99 %, 12519 MiB, 175.55 W
2026/09/04 21:26:45.904, 100 %, 12519 MiB, 210.76 W
2026/09/04 21:26:47.904, 78 %, 12519 MiB, 207.98 W
2026/09/04 21:26:49.905, 100 %, 12519 MiB, 175.28 W
2026/09/04 21:26:51.905, 99 %, 12519 MiB, 219.09 W
2026/09/04 21:26:53.906, 75 %, 12519 MiB, 202.91 W
2026/09/04 21:26:55.906, 99 %, 12519 MiB, 169.37 W
2026/09/04 21:26:57.906, 99 %, 12519 MiB, 193.02 W
2026/09/04 21:26:59.907, 82 %, 12519 MiB, 219.54 W
2026/09/04 21:27:01.907, 99 %, 12519 MiB, 177.99 W
2026/09/04 21:27:03.908, 99 %, 12519 MiB, 207.35 W
2026/09/04 21:27:05.908, 78 %, 12519 MiB, 209.76 W
2026/09/04 21:27:07.909, 99 %, 12519 MiB, 172.34 W
2026/09/04 21:27:09.909, 99 %, 12519 MiB, 195.86 W
2026/09/04 21:27:11.909, 80 %, 12519 MiB, 211.96 W
2026/09/04 21:27:13.910, 99 %, 12519 MiB, 168.58 W
2026/09/04 21:27:15.910, 100 %, 12519 MiB, 209.93 W
2026/09/04 21:27:17.911, 81 %, 12519 MiB, 223.60 W
2026/09/04 21:27:19.911, 99 %, 12519 MiB, 172.98 W
2026/09/04 21:27:21.911, 99 %, 12519 MiB, 217.26 W
2026/09/04 21:27:23.912, 80 %, 12519 MiB, 214.16 W
2026/09/04 21:27:25.912, 99 %, 12519 MiB, 170.40 W
2026/09/04 21:27:27.913, 99 %, 12519 MiB, 216.59 W
2026/09/04 21:27:29.913, 81 %, 12519 MiB, 207.44 W
2026/09/04 21:27:31.913, 99 %, 12519 MiB, 167.91 W
2026/09/04 21:27:33.914, 99 %, 12519 MiB, 197.23 W
2026/09/04 21:27:35.914, 83 %, 12519 MiB, 217.74 W
2026/09/04 21:27:37.915, 99 %, 12519 MiB, 167.43 W
2026/09/04 21:27:39.915, 99 %, 12519 MiB, 199.59 W
2026/09/04 21:27:41.916, 80 %, 12519 MiB, 210.30 W
2026/09/04 21:27:43.916, 100 %, 12519 MiB, 168.76 W
2026/09/04 21:27:45.917, 99 %, 12519 MiB, 205.73 W
2026/09/04 21:27:47.917, 80 %, 12519 MiB, 198.16 W
2026/09/04 21:27:49.917, 99 %, 12519 MiB, 166.62 W
2026/09/04 21:27:51.918, 99 %, 12519 MiB, 219.57 W
2026/09/04 21:27:53.918, 79 %, 12519 MiB, 208.42 W
2026/09/04 21:27:55.919, 100 %, 12519 MiB, 171.63 W
2026/09/04 21:27:57.919, 99 %, 12519 MiB, 220.98 W
2026/09/04 21:27:59.920, 81 %, 12519 MiB, 209.28 W
2026/09/04 21:28:01.920, 99 %, 12519 MiB, 169.34 W
